Recency,Frequency,Monetary,AvgItemsPerOrder,UniqueCategories,DaysBetweenOrders,ReturnRate,LoyaltyPoints,TargetProductsNext30d,TargetSpendNext30d
325,85,442.82,13,4,55,0.16,8138,13,780.04
175,22,6884.07,7,7,52,0.15,2352,18,1785.51
108,15,6172.5,9,1,8,0.2,7263,10,1827.31
288,32,9574.44,13,2,43,0.26,2759,25,3357.84
96,13,8968.2,12,2,33,0.25,1152,12,605.88
119,43,941.94,14,5,2,0.03,6621,26,1560.2
327,33,4837.08,9,1,40,0.02,4511,9,1732.74
25,11,6973.85,14,4,10,0.21,3009,37,1522.36
301,29,3236.43,10,9,33,0.22,5891,32,1438.7
185,70,3008.41,7,8,43,0.17,6441,38,6092.32
169,50,5609.16,5,8,22,0.03,9991,39,2434.69
96,35,1972.06,10,4,53,0.28,1063,30,1806.42
108,41,7264.72,14,5,2,0.07,3617,23,2946.22
233,50,9036.05,10,5,54,0.22,7485,19,780.94
127,3,1484.06,12,7,46,0.24,195,39,3018.55
221,8,6671.43,2,8,33,0.27,5975,14,2272.03
195,97,7298.08,13,1,33,0.24,313,16,2208.19
102,90,2198.04,2,5,42,0.19,751,19,2138.75
124,86,3643.0,6,8,56,0.25,2970,6,817.24
125,65,6873.19,12,8,43,0.22,5435,38,6044.23
75,50,8161.1,5,7,54,0.04,2405,28,3964.74
319,14,961.25,9,2,26,0.23,5816,6,149.25
323,82,624.52,5,9,49,0.16,3269,39,3603.23
60,14,6344.21,6,5,56,0.28,4057,32,4370.19
37,5,1319.0,10,6,15,0.16,9227,3,139.88
9,70,1330.85,9,2,36,0.06,1129,24,1243.05
275,54,843.3,5,9,29,0.09,4104,38,4652.57
8,78,6631.93,11,2,41,0.23,2218,8,794.35
198,77,9123.93,12,8,2,0.04,7956,10,1089.48
8,78,5315.41,7,7,17,0.19,4482,33,2752.78
262,81,5815.51,14,2,54,0.27,5658,34,1387.09
111,37,9569.49,1,9,10,0.15,4474,39,2708.8
170,33,3166.81,6,8,54,0.21,8507,6,364.13
23,81,726.67,1,5,18,0.15,730,3,215.56
254,46,849.57,4,4,3,0.09,1913,0,0.0
13,23,1660.67,11,7,23,0.14,6400,24,3502.06
16,55,3433.23,3,3,16,0.16,3013,33,4252.49
240,96,3639.95,8,4,18,0.29,3761,7,796.23
170,67,7639.72,12,9,27,0.13,9039,30,3559.37
68,67,2578.19,12,2,25,0.08,4535,37,2738.64
221,8,9905.71,4,5,9,0.17,2705,7,851.95
80,21,494.95,8,2,41,0.15,1291,22,1259.07
145,8,2133.95,5,8,10,0.02,7024,22,3653.64
161,14,931.45,5,6,51,0.2,9049,32,1014.52
65,4,1691.2,5,4,49,0.09,3422,5,727.78
30,35,151.23,9,6,47,0.15,6484,27,1873.25
232,70,3485.24,10,2,4,0.0,5829,12,983.52
101,5,4134.78,8,6,41,0.06,4370,23,3381.64
16,90,8965.79,1,5,29,0.03,2261,34,6534.03
153,48,2347.45,6,4,20,0.25,3994,20,490.9
109,19,2896.12,12,7,53,0.0,6770,18,3014.88
311,14,5807.33,4,6,10,0.16,9652,16,420.11
122,16,6603.17,14,3,55,0.15,3341,12,1957.75
291,65,9480.27,14,9,39,0.16,2014,12,607.59
10,43,5045.34,3,1,3,0.03,7605,11,1740.25
54,25,8331.28,12,1,23,0.23,2124,0,0.0
209,18,9091.67,7,7,40,0.3,5605,22,564.34
6,8,5996.69,12,9,9,0.17,4198,39,4643.07
