CustomerID,Age,TenureDays,TotalOrders,AvgBasketValue,TotalSpend,LastPurchaseDaysAgo,Country,PreferredCategory,PredictedNext30dProducts
13582,43,1250,39,373.54,14568.06,44,France,Grocery,2
13454,23,680,78,102.77,8016.06,175,Germany,Home,13
11346,41,607,119,495.05,58910.95,231,France,Home,10
14060,18,498,53,110.23,5842.19,93,UK,Sports,19
11593,38,271,107,489.16,52340.12,195,Canada,Sports,21
10096,34,998,42,455.46,19129.32,288,France,Books,3
14143,59,95,31,424.63,13163.53,11,France,Home,20
14169,22,1441,76,278.31,21151.56,66,Germany,Fashion,9
10942,18,950,104,144.32,15009.28,186,UK,Books,23
10111,29,1340,102,252.35,25739.7,357,UK,Grocery,10
13481,64,437,16,322.27,5156.32,216,UK,Grocery,22
11363,41,90,35,312.02,10920.7,249,India,Electronics,3
12894,53,784,117,156.1,18263.7,272,Canada,Electronics,9
13325,34,744,36,385.07,13862.52,271,USA,Books,24
11092,35,1396,74,381.43,28225.82,175,Canada,Grocery,23
11847,50,1088,26,101.16,2630.16,241,Canada,Fashion,5
14547,57,585,10,159.13,1591.3,342,India,Fashion,19
12050,68,1245,8,278.26,2226.08,1,India,Books,16
10039,19,784,21,423.28,8888.88,59,India,Home,11
11346,20,792,67,66.98,4487.66,54,UK,Sports,14
11159,56,1074,12,73.2,878.4,93,India,Books,10
11897,57,623,77,192.42,14816.34,178,USA,Sports,9
14195,54,1212,102,389.99,39778.98,327,Canada,Books,21
12428,43,1408,81,221.2,17917.2,123,Canada,Books,2
13252,52,1405,23,67.15,1544.45,360,India,Grocery,23
11382,20,791,1,389.39,389.39,39,India,Sports,9
13937,68,621,103,353.37,36397.11,110,France,Fashion,0
14309,29,1386,61,242.76,14808.36,131,Canada,Books,7
13702,42,616,46,381.79,17562.34,364,India,Fashion,4
14958,23,751,85,323.85,27527.25,110,Germany,Home,17
12338,21,930,5,110.36,551.8,339,France,Books,0
10588,18,243,113,259.55,29329.15,204,Canada,Fashion,23
11704,65,1387,109,215.01,23436.09,284,France,Sports,1
13971,41,349,117,219.22,25648.74,117,UK,Grocery,6
14202,60,820,36,481.34,17328.24,214,Canada,Electronics,12
10837,41,1429,96,88.32,8478.72,343,France,Fashion,14
12624,38,219,33,333.57,11007.81,229,Germany,Home,13
14939,20,505,15,476.36,7145.4,56,India,Grocery,23
11442,46,1336,27,286.41,7733.07,350,Canada,Fashion,8
10826,37,330,8,289.76,2318.08,319,France,Grocery,4
11418,63,671,26,236.04,6137.04,96,Germany,Sports,11
13862,30,596,27,236.21,6377.67,250,Canada,Electronics,12
14242,30,233,74,136.18,10077.32,237,USA,Grocery,14
14507,18,114,22,91.39,2010.58,236,USA,Fashion,20
11789,45,518,114,93.13,10616.82,235,India,Books,0
13252,42,1225,88,373.22,32843.36,336,Canada,Fashion,19
11389,18,367,94,359.77,33818.38,77,USA,Home,12
10371,54,1265,2,138.14,276.28,153,India,Sports,6
13226,21,660,75,89.94,6745.5,99,Germany,Sports,15
12768,30,30,107,169.08,18091.56,13,UK,Electronics,1
10390,32,819,71,478.26,33956.46,220,USA,Fashion,19
10255,47,336,62,227.32,14093.84,86,India,Grocery,9
13316,53,158,47,26.09,1226.23,148,India,Sports,18
14455,46,129,45,95.22,4284.9,277,India,Electronics,19
14043,34,520,2,349.08,698.16,290,UK,Home,2
10950,64,1253,98,278.74,27316.52,266,Canada,Grocery,6
11153,40,1227,49,450.44,22071.56,291,USA,Electronics,0
10555,36,994,48,390.01,18720.48,161,Canada,Grocery,23
13258,47,786,32,392.52,12560.64,347,France,Home,5
11381,47,1493,103,280.5,28891.5,303,UK,Electronics,21
10695,29,784,21,206.13,4328.73,345,India,Electronics,5
